Symbol,cik
knx,1492691
ko,21344
kod,1468748
kodk,31235
kof,910631
kr,56873
krc,1025996
krg,1286043
krnt,1625791
krtx,1771917
kss,885639
kt,892450
ktb,1760965
kw,1408100
kwr,81362
l,60086
lac,1440972
lad,1023128
lamr,1090425
lanc,57515
laur,912766
laz,1311370
lazr,1758057
lbrda,1611983
lbrdk,1611983
lbrt,1694028
lbtya,1570585
lbtyb,1570585
lbtyk,1570585
lcid,1811210
lcii,763744
ldos,1336920
lea,842162
leco,59527
leg,58492
legn,1801198
len,920760
lesl,1821806
levi,94845
lfc,1268896
lfst,1845257
lfus,889331
lgih,1580670
lh,920148
lhcg,1303313
lhx,202058
li,1791706
lii,1069202
lila,1712184
lilak,1712184
lin,1707925
lite,1633978
livn,1639691
lkfn,721994
lkq,1065696
ll,1396033
lly,59478
lmdx,1685428
lmnd,1691421
lmt,936468
lnc,59558
lng,3570
lnt,352541
lob,1462120
logi,1032975
lope,1434588
low,60667
lpl,1290109
lpla,1397911
lpx,60519
lrcx,707549
lscc,855658
lsi,944314
lspd,1823306
lstr,853816
lsxma,1560385
lsxmb,1560385
lsxmk,1560385
lth,1869198
lthm,1742924
lu,1816007
lulu,1397187
lumn,18926
luv,92380
lvs,1300514
lw,1679273
lxp,910108
lyb,1489393
lyft,1759509
lyg,1160106
lyv,1335258
lz,1286139
m,794367
ma,1141391
maa,912595
mac,912242
main,1396440
man,871763
manh,1056696
mant,892537
manu,1549107
mar,1048286
mara,1507605
mas,62996
masi,937556
mat,63276
matx,3453
mbt,1115837
mc,1596967
mcd,63908
mcfe,1783317
mchp,827054
mck,927653
mco,1059556
mcw,1853513
mcy,64996
md,893949
mdb,1441816
mdc,773141
mdlz,1103982
mdrx,1124804
mdt,1613103
mdu,67716
mdy,936958
med,910329
medp,1668397
meli,1099590
meoh,886977
met,1099219
mfc,1086888
mfg,1335730
mga,749098
mgee,1161728
mgm,789570
mgp,1656936
mgy,1698990
mhk,851968
midd,769520
mime,1644675
mkc,63754
mkl,1096343
mksi,1049502
mktx,1278021
mlco,1381640
mli,89439
mlkn,66382
mlm,916076
mmc,62709
mmm,66740
mmp,1126975
mms,1032220
mmsi,856982
mmyt,1495153
mndt,1370880
mndy,1845338
mnkd,899460
mnr,67625
mnso,1815846
mnst,865752
mntv,1739936
mo,764180
moh,1179929
momo,1610601
morn,1289419
mos,1285785
mp,1801368
mpc,1510295
mpln,1793229
mplx,1552000
mpw,1287865
mpwr,1280452
mq,1522540
mrcy,1049521
mrk,310158
mrna,1682852
mro,101778
mrtx,1576263
mrvi,1823239
mrvl,1835632
ms,895421
msa,66570
msci,1408198
msft,789019
msge,1795250
msgs,1636519
msi,68505
msm,1003078
msp,1724570
mstr,1050446
mt,1243429
mtb,36270
mtch,891103
mtd,1037646
mtdr,1520006
mtg,876437
mth,833079
mtn,812011
mtsi,1493594
mttr,1819394
mtx,891014
mtz,15615
mu,723125
mufg,67088
mur,717423
musa,1573516
mvis,65770
mxl,1288469
nac,1074952
nad,1083839
napa,1835256
nari,1531048
nati,935494
navi,1593538
nbev,1579823
nbix,914475
nclh,1513761
ncno,1902733
ncr,70866
ndaq,1120193
ndsn,72331
nea,1195737
nee,753308
negg,1474627
nem,1164727
neo,1077183
neog,711377
nep,1603145
net,1477333
neu,1282637
newr,1448056
nfe,1749723
nfg,70145
nflx,1065280
ngg,1004315
ngvt,1653477
nhi,877860
ni,1111711
nice,1003935
nio,1736541
njr,356309
nke,320187
nkla,1731289
nlok,849399
nlsn,1492633
nly,1043219
nmih,1547903
nmr,1163653
nmrk,1690680
nndm,1643303
nni,1258602
nnn,751364
nnox,1795251
noc,1133421
nok,924613
nomd,1651717
nov,1021860
nova,1772695
novt,1076930
now,1373715
npo,1164863
nrg,1013871
nrz,1556593
nsa,1618563
nsc,702165
nsit,932696
nsp,1000753
ntap,1002047
ntco,1776967
ntct,1078075
ntes,1110646
ntla,1652130
ntnx,1618732
ntr,1725964
ntra,1604821
ntrs,73124
nu,1691493
nuan,1002517
nue,73309
nus,1021561
nuv,812801
nuva,1142596
nvax,1000694
nvcr,1645113
nvda,1045810
nvei,1765159
nvg,1090116
nvmi,1109345
nvo,353278
nvr,906163
nvro,1444380
nvs,1114448
nvst,1757073
nvt,1720635
nvta,1501134
nwe,73088
nwg,844150
nwl,814453
nws,1564708
nwsa,1564708
nxpi,1413447
nxst,1142417
nycb,910073
nyt,71691
nzf,1137887
o,726728
oas,1486159
oc,1370946
ocdx,1828443
ocgn,1372299
odfl,878927
odp,800240
ofc,860546
oge,1021635
ogn,1821825
ogs,1587732
ohi,888491
oi,812074
oke,1039684
okta,1660134
oled,1005284
olli,1639300
oln,74303
olo,1431695
olpx,1868726
omab,1378239
omc,29989
omcl,926326
omf,1584207
omi,75252
on,1097864
onb,707179
onon,1858985
onto,704532
opch,1014739
open,1801169
opk,944809
ora,1296445
oran,1038143
orcc,1655888
orcl,1341439
ori,74260
orly,898173
osh,1564406
osk,775158
ostk,1130713
otex,1002638
otis,1781335
otly,1843586
ottr,1466593
out,1579877
ovv,1792580
owl,1823945
oxy,797468
ozk,1569650
ozon,1822829
paa,1070423
paas,771992
pac,1347557
pacb,1299130
pacw,1102112
pag,1019849
pagp,1581990
pags,1712807
panw,1327567
path,1734722
pax,1825570
pay,1841156
payc,1590955
payx,723531
pb,1068851
pba,1546066
pbct,1378946
pbh,1295947
pbr,1119639
pcar,75362
pcg,1004980
pch,1338749
pcor,1611052
pcrx,1396814
pcty,1591698
pd,1568100
pdce,77877
pdco,891024
pdd,1737806
pdm,1042776
peak,765880
peb,1474098
peco,1476204
peg,788784
pega,1013857
pen,1321732
penn,921738
pep,77476
pfe,78003
pfg,1126328
pfgc,1618673
pfsi,1745916
pg,80424
pgny,1551306
pgr,80661
ph,76334
phg,313216
phi,78150
phm,822416
phun,1665300
pii,931015
pinc,1577916
pins,1506293
pipr,1230245
pk,1617406
pkg,75677
pki,31791
pkx,889132
plan,1540755
play,1525769
pld,1045609
plnt,1637207
pltk,1828016
pltr,1321655
plug,1093691
plxs,785786
pm,1413329
pnc,713676
pnfp,1115055
pnm,1108426
pnr,77360
pnw,764622
podd,1145197
pool,945841
por,784977
post,1530950
powi,833640
ppbi,1028918
ppc,802481
ppg,79879
ppl,922224
prft,1085869
prg,1808834
prgo,1585364
pri,1475922
prk,805676
prmw,884713
prog,1580063
pru,1137774
prva,1759655
psa,1393311
psb,866368
psec,1287032
psfe,1833835
psmt,1041803
psn,275880
pso,938323
pstg,1474432
psth,1811882
psx,1534701
psxp,1572910
ptc,857005
ptct,1070081
pten,889900
pton,1639825
ptr,1108329
puk,1116578
pvg,1508844
pvh,78239
pwr,1050915
pwsc,1835681
pxd,1038357
pycr,1839439
pypl,1633917
pzza,901491
qcom,804328
qdel,353569
qfin,1741530
qgen,1015820
qlys,1107843
qqq,1067839
qrtea,1355096
qrteb,1355096
qrvo,1604778
qs,1811414
qsr,1618756
qtwo,1410384
r,85961
race,1648416
rad,84129
ramp,733269
rare,1515673
rba,1046102
rblx,1315098
rci,733099
rcii,933036
rcl,884887
rcm,1472595
rcus,1724521
rdfn,1382821
rdn,890926
rdy,1135951
re,1095073
reg,910606
regn,872589
relx,929869
rexr,1571283
reyn,1786431
rezi,1740332
rf,1281761
rga,898174
rgen,730272
rgld,85535
rh,1528849
rhi,315213
rhp,1040829
ride,1759546
rig,1451505
rio,863064
riot,1167419
rivn,1874178
rjf,720005
rklb,1819994
rkt,1805284
rl,1037038
rlay,1812364
rli,84246
rlj,1511337
rlx,1828365
rmbs,917273
rmd,943819
rmo,1757932
rng,1384905
rnr,913144
rnst,715072
rnw,1848763
rog,84748
roic,1407623
roiv,1635088
rok,1024478
roku,1428439
rol,84839
roll,1324948
root,1788882
rop,882835
rost,745732
rpd,1560327
rpm,110621
rprx,1802768
rqi,1157842
rrc,315852
rrr,1653653
rrx,82811
rs,861884
rsg,1060391
rtx,101829
run,1469367
rusha,1012019
rushb,1012019
rvlv,1746618
rxt,1810019
ry,1000275
ryaay,1038683
ryan,1849253
ryn,52827
s,1583708
sabr,1597033
safe,1688852
safm,812128
sage,1597553
sah,1043509
saia,1177702
saic,1571123
sail,1627857
sam,949870
san,891478
sanm,897723
sap,1000184
sasr,824410
sats,1415404
sava,1069530
save,1498710
sbac,1034054
sbcf,730708
sbgi,912752
sblk,1386716
sbny,1288784
sbra,1492298
sbs,1170858
sbsw,1786909
sbux,829224
scco,1001838
schw,316709
sci,89089
scl,94049
sdc,1775625
se,1703399
seas,1564902
seb,88121
sedg,1419612
see,1012100
seic,350894
sem,1320414
semr,1831840
sf,720672
sfbs,1430723
sfix,1576942
sfm,1575515
sfnc,90498
sg,1477815
sgen,1060736
sgfy,1828182
sgms,750004
sgry,1638833
shak,1620533
shc,1822479
shg,1263043
shi,908732
shlx,1610466
sho,1295810
shoo,913241
shop,1594805
shw,89800
si,1312109
sid,1049659
sig,832988
sigi,230557
sim,887153
simo,1329394
siri,908937
sitc,894315
site,1650729
sitm,1451809
sivb,719739
six,701374
sji,91928
sjm,91419
sjr,932872
sjw,766829
sklz,1801661
skm,1015650
skx,1065837
sky,90896
slab,1038074
slb,87347
slf,1097362
slg,1040971
slgn,849869
slm,1032033
slv,1330568
sm,893538
smar,1366561
smci,1375365
smfg,1022837
smg,825542
smpl,1702744
smtc,88941
sna,91440
snap,1564408
sndl,1766600
sndr,1692063
snn,845982
snow,1640147
snp,1123658
snps,883241
snv,18349
snx,1177394
sny,1121404
so,92122
sofi,1818874
sol,1417892
solo,1637736
son,91767
sono,1314727
sony,313838
sos,1346610
spb,109177
spce,1706946
spg,1063761
spgi,64040
splk,1353283
spot,1639920
spr,1364885
spsc,1092699
spt,1517375
spwr,867773
spxc,88205
spy,884394
sq,1512673
sqm,909037
sqsp,1496963
sr,1126956
srad,1836470
src,1308606
srcl,861878
sre,1032208
srne,850261
srpt,873303
ssb,764038
ssd,920371
ssl,314590
ssnc,1402436
ssrm,921638
sstk,1549346
ssu,1869858
ssys,1517396
st,1477294
staa,718937
stag,1479094
ste,1757898
stem,1758766
stfc,874977
stla,1605484
stld,1022671
stm,932787
stn,1131383
stne,1745431
stor,1538990
stt,93751
stvn,1849853
stwd,1465128
stx,1137789
stz,16918
su,311337
sui,912593
sum,1621563
sun,1552275
suz,909327
svxy,1415311
swav,1642545
swch,1710583
swi,1739942
swk,93556
swks,4127
swn,7332
swtx,1773427
swx,1692115
sxt,310142
syf,1601712
syk,310764
syna,817720
synh,1610950
syy,96021
t,732717
tac,1144800
tak,1395064
tal,1499620
tap,24545
task,1829864
tbk,1539638
tcbi,1077428
tcom,1269238
td,947263
tdc,816761
tdg,1260221
tdoc,1477449
tds,1051512
tdy,1094285
team,1650372
tech,842023
teck,886986
tef,814052
tel,1385157
tenb,1660280
teo,932470
ter,97210
teva,818686
tex,97216
tfc,92230
tfii,1588823
tfsl,1381668
tfx,96943
tgna,39899
tgt,27419
thc,70318
thg,944695
tho,730263
thrm,903129
ths,1320695
tigo,912958
timb,1826168
tixt,1825155
tjx,109198
tkc,1071321
tkr,98362
tlk,1001807
tlry,1731348
tm,1094517
tmc,1798562
tme,1744676
tmhc,1562476
tmo,97745
tmus,1283699
tmx,1428875
tndm,1438133
tnet,937098
tnl,1361658
tol,794170
tost,1650164
tpg,1880661
tph,1561680
tpl,1811074
tpr,1116132
tpx,1206264
tr,98677
trex,1069878
trgp,1389170
tri,1075124
trip,1526520
trmb,864749
trn,99780
trno,1476150
trow,1113169
trox,1530804
trp,1232384
trq,1158041
trtn,1660734
tru,1552033
trup,1371285
trv,86312
ts,1190723
tsco,916365
tse,1519061
tsem,928876
tsla,1318605
tsm,1046179
tsn,100493
tsp,1823593
tt,1466258
ttc,737758
ttcf,1741231
ttd,1671933
tte,879764
ttec,1013880
ttek,831641
ttgt,1293282
ttm,926042
ttwo,946581
tu,868675
tuya,1829118
tv,912892
tw,1758730
twks,1866550
twlo,1447669
twnk,1644406
twst,1581280
twtr,1418091
tx,1342874
txg,1770787
txn,97476
txrh,1289460
txt,217346
tyl,860731
u,1810806
ua,1336917
uaa,1336917
ual,100517
uber,1543151
ubs,1610520
ubsi,729986
ucbi,857855
uco,1415311
uctt,1275014
udr,74208
ue,1611547
ufpi,912767
ugi,884614
ugp,1094972
uhal,4457
uhs,352915
ui,1511737
ul,217410
ulcc,1670076
ulta,1403568
umbf,101382
umc,1033767
umpq,1077771
unf,717954
unfi,1020859
ung,1376227
unh,731766
unit,1620280
unm,5513
unp,100885
unvr,1494319
ups,1090727
